id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med flm)
1011;1012;Left-Pallidum;Left-Accumbens-area;79;80;Left-Pallidum;Left-Accumbens-area;313;13.166669
151;504;rh.precentral_9;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;339;31.920007
700;1009;lh.posteriorcingulate_8;Left-Caudate;55;77;ctx-lh-posteriorcingulate;Left-Caudate;382;12.305559
78;81;rh.rostralmiddlefrontal_6;rh.superiorfrontal_3;7;8;ctx-rh-rostralmiddlefrontal;ctx-rh-superiorfrontal;318;13.200008
769;991;lh.superiorparietal_27;lh.insula_5;59;75;ctx-lh-superiorparietal;ctx-lh-insula;311;19.563640
769;1010;lh.superiorparietal_27;Left-Putamen;59;78;ctx-lh-superiorparietal;Left-Putamen;318;37.650002
751;770;lh.supramarginal_3;lh.superiorparietal_25;58;59;ctx-lh-supramarginal;ctx-lh-superiorparietal;317;16.061539
606;616;lh.superiorfrontal_28;lh.superiorfrontal_34;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;314;13.100003
60;63;rh.rostralmiddlefrontal_18;rh.rostralmiddlefrontal_23;7;7;ctx-rh-rostralmiddlefrontal;ctx-rh-rostralmiddlefrontal;295;17.280005
691;1009;lh.rostralanteriorcingulate_2;Left-Caudate;53;77;ctx-lh-rostralanteriorcingulate;Left-Caudate;404;16.792877
691;1010;lh.rostralanteriorcingulate_2;Left-Putamen;53;78;ctx-lh-rostralanteriorcingulate;Left-Putamen;351;33.574997
666;1010;lh.precentral_11;Left-Putamen;51;78;ctx-lh-precentral;Left-Putamen;355;27.400005
82;87;rh.superiorfrontal_14;rh.superiorfrontal_19;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;367;13.799998
650;685;lh.precentral_26;lh.paracentral_6;51;52;ctx-lh-precentral;ctx-lh-paracentral;299;14.600004
590;594;lh.superiorfrontal_35;lh.superiorfrontal_23;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;313;13.300011
590;602;lh.superiorfrontal_35;lh.superiorfrontal_29;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;298;18.339997
545;580;lh.parstriangularis_6;lh.rostralmiddlefrontal_3;46;48;ctx-lh-parstriangularis;ctx-lh-rostralmiddlefrontal;306;31.384994
545;578;lh.parstriangularis_6;lh.rostralmiddlefrontal_7;46;48;ctx-lh-parstriangularis;ctx-lh-rostralmiddlefrontal;340;23.751902
545;573;lh.parstriangularis_6;lh.rostralmiddlefrontal_23;46;48;ctx-lh-parstriangularis;ctx-lh-rostralmiddlefrontal;319;21.684004
191;503;rh.posteriorcingulate_1;Right-Caudate;14;36;ctx-rh-posteriorcingulate;Right-Caudate;400;11.836667
187;503;rh.caudalanteriorcingulate_2;Right-Caudate;13;36;ctx-rh-caudalanteriorcingulate;Right-Caudate;344;12.103336
1006;1010;lh.insula_3;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;382;14.926666
996;1010;lh.insula_8;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;337;13.799999
651;1010;lh.precentral_21;Left-Putamen;51;78;ctx-lh-precentral;Left-Putamen;393;36.226664
651;662;lh.precentral_21;lh.precentral_25;51;51;ctx-lh-precentral;ctx-lh-precentral;351;26.675003
651;1008;lh.precentral_21;Left-Thalamus-Proper;51;76;ctx-lh-precentral;Left-Thalamus-Proper;308;35.199999
651;1009;lh.precentral_21;Left-Caudate;51;77;ctx-lh-precentral;Left-Caudate;365;22.488000
651;661;lh.precentral_21;lh.precentral_6;51;51;ctx-lh-precentral;ctx-lh-precentral;365;21.828567
629;1010;lh.caudalmiddlefrontal_9;Left-Putamen;50;78;ctx-lh-caudalmiddlefrontal;Left-Putamen;301;31.850006
629;632;lh.caudalmiddlefrontal_9;lh.caudalmiddlefrontal_13;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;330;16.176665
629;631;lh.caudalmiddlefrontal_9;lh.caudalmiddlefrontal_1;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;308;13.362497
629;1009;lh.caudalmiddlefrontal_9;Left-Caudate;50;77;ctx-lh-caudalmiddlefrontal;Left-Caudate;322;21.963216
498;507;rh.insula_3;Right-Hippocampus;34;40;ctx-rh-insula;Right-Hippocampus;362;13.253573
498;508;rh.insula_3;Right-Amygdala;34;41;ctx-rh-insula;Right-Amygdala;363;12.199987
7;504;rh.lateralorbitofrontal_4;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;384;15.939611
99;104;rh.superiorfrontal_24;rh.superiorfrontal_21;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;320;13.921428
99;103;rh.superiorfrontal_24;rh.superiorfrontal_22;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;344;13.710002
566;1009;lh.rostralmiddlefrontal_4;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;310;20.442860
500;508;rh.insula_12;Right-Amygdala;34;41;ctx-rh-insula;Right-Amygdala;357;16.714288
500;504;rh.insula_12;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;393;13.666667
255;504;rh.superiorparietal_13;Right-Putamen;18;37;ctx-rh-superiorparietal;Right-Putamen;348;41.040000
533;583;lh.medialorbitofrontal_4;lh.rostralmiddlefrontal_1;45;48;ctx-lh-medialorbitofrontal;ctx-lh-rostralmiddlefrontal;298;12.474999
359;390;rh.lateraloccipital_3;rh.fusiform_2;23;25;ctx-rh-lateraloccipital;ctx-rh-fusiform;325;14.300014
182;503;rh.rostralanteriorcingulate_4;Right-Caudate;12;36;ctx-rh-rostralanteriorcingulate;Right-Caudate;410;14.155000
